use_case,decision,key_namespace,key_version,key_format,tenant_resource_identity,cached_value,source_of_truth,codec,maximum_serialized_bytes,expected_cardinality,ttl_seconds,jitter_seconds,negative_cache_ttl_seconds,invalidation_trigger,request_coalescing,redis_outage_fallback,expected_latency_benefit,expected_source_cost_reduction,estimated_bytes_per_entry,estimated_total_redis_memory,replication_persistence_multiplier,confidence,evidence_source,reason
public catalog,CACHE,public-cache,v1,public-cache:v1:<generation>:<digest>,public or explicit user/resource scope as shown in key,public catalog response,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,256000,200,300,CURRENT 0-30; target bounded,0,catalog mutation,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,65701,13140200,1.5,MEDIUM,Observed public cache implementation,Observed public cache implementation
home/public shelf,CACHE,public-cache,v1,public-cache:v1:<generation>:<digest>,public or explicit user/resource scope as shown in key,curated composition,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,128000,50,300,CURRENT 0-30; target bounded,0,catalog or curation mutation,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,65701,3285050,1.5,MEDIUM,Observed public cache implementation,Observed public cache implementation
book metadata,CACHE,public-cache,v1,public-cache:v1:<generation>:<digest>,public or explicit user/resource scope as shown in key,book projection,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,64000,500,300,CURRENT 0-30; target bounded,0,book mutation,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,64165,32082500,1.5,MEDIUM,Observed public cache implementation,Observed public cache implementation
chapter metadata,CACHE,reader-content,v1,reader-content:v1:<generation>:<digest>,public or explicit user/resource scope as shown in key,chapter metadata,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,64000,5000,900,CURRENT 0-30; target bounded,0,chapter mutation,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,64167,320835000,1.5,MEDIUM,Observed reader cache implementation,Observed reader cache implementation
Reader content,CONDITIONAL,reader-content,v1,reader-content:v1:<generation>:<digest>,public or explicit user/resource scope as shown in key,rendered chapter HTML,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,262144,10000,3600,CURRENT 0-30; target bounded,0,chapter/publication mutation,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,65703,657030000,1.5,LOW,Current implementation lacks max-size guard,Current implementation lacks max-size guard
Listener manifest,CACHE,reader-manifest,v1,reader-manifest:v1:<generation>:<digest>,public or explicit user/resource scope as shown in key,release-safe metadata,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,131072,500,1800,CURRENT 0-30; target bounded,0,audio release or book mutation,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,65704,32852000,1.5,MEDIUM,Observed metadata cache,Observed metadata cache
audio object metadata,CONDITIONAL,media-meta,v1,media-meta:v1:<object-version>,public or explicit user/resource scope as shown in key,ETag/length/content type,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,8192,1000,600,CURRENT 0-30; target bounded,0,object replacement,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,8350,8350000,1.5,LOW,Requires production measurements,Requires production measurements
signed URL/delivery manifest,CONDITIONAL,delivery-manifest,v1,delivery-manifest:v1:<user>:<resource>,public or explicit user/resource scope as shown in key,short-lived authorization-safe route metadata,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,8192,10000,60,CURRENT 0-30; target bounded,0,lease/revocation,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,8358,83580000,1.5,LOW,No signed URL cache currently,No signed URL cache currently
article/journal metadata,CACHE,public-cache,v1,public-cache:v1:<generation>:<digest>,public or explicit user/resource scope as shown in key,public metadata,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,65536,2000,300,CURRENT 0-30; target bounded,0,editorial mutation,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,65701,131402000,1.5,MEDIUM,Observed public cache pattern,Observed public cache pattern
entitlement lookup,CONDITIONAL,entitlement,v1,entitlement:v1:<user>:<resource>,public or explicit user/resource scope as shown in key,allow/deny state,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,2048,100000,8,CURRENT 0-30; target bounded,0,lease/session/revocation,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,2208,220800000,1.5,LOW,Sensitive; cache only with exact invalidation,Sensitive; cache only with exact invalidation
session/user lookup,CACHE,user-session,v1,user-session:v1:<session>,public or explicit user/resource scope as shown in key,session document,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,8192,100000,20,CURRENT 0-30; target bounded,0,session revoke/refresh,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,8345,834500000,1.5,MEDIUM,Observed current cache,Observed current cache
processing/transcode state,CONDITIONAL,processing,v1,processing:v1:<asset>,public or explicit user/resource scope as shown in key,job state,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,8192,10000,30,CURRENT 0-30; target bounded,0,job state transition,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,8341,83410000,1.5,LOW,No stable current contract,No stable current contract
waveform/page-count metadata,CONDITIONAL,media-derived,v1,media-derived:v1:<object-version>,public or explicit user/resource scope as shown in key,small derived metadata,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,65536,10000,3600,CURRENT 0-30; target bounded,0,object replacement,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,65697,656970000,1.5,LOW,No active product path for waveform/PDF,No active product path for waveform/PDF
negative not-found,CONDITIONAL,negative,v1,negative:v1:<public-resource>,public or explicit user/resource scope as shown in key,not found marker,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,256,50000,30,CURRENT 0-30; target bounded,30,create/publish,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,413,20650000,1.5,LOW,Avoid caching protected authorization denials,Avoid caching protected authorization denials
request coalescing locks,CONDITIONAL,singleflight,v1,singleflight:v1:<resource>,public or explicit user/resource scope as shown in key,short lock token,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,256,10000,10,CURRENT 0-30; target bounded,0,operation completion,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,410,4100000,1.5,LOW,No cache-fill singleflight currently,No cache-fill singleflight currently
idempotency state,CONDITIONAL,idempotency,v1,idempotency:v1:<user>:<operation>,public or explicit user/resource scope as shown in key,response hash/status,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,16384,10000,86400,CURRENT 0-30; target bounded,0,operation resolution,CURRENT absent; target selected singleflight,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,16545,165450000,1.5,LOW,Route-specific design needed,Route-specific design needed
complete PDF binary,DO_NOT_CACHE,N/A,v1,N/A,public or explicit user/resource scope as shown in key,large binary,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,0,0,0,CURRENT 0-30; target bounded,0,N/A,N/A,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,0,0,0,LOW,No active PDF route; Redis unsuitable for large bytes,No active PDF route; Redis unsuitable for large bytes
complete audio binary,DO_NOT_CACHE,N/A,v1,N/A,public or explicit user/resource scope as shown in key,large binary,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,0,0,0,CURRENT 0-30; target bounded,0,N/A,N/A,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,0,0,0,LOW,Repository policy rejects audiobook binaries,Repository policy rejects audiobook binaries
arbitrary Range fragments,DO_NOT_CACHE,N/A,v1,N/A,public or explicit user/resource scope as shown in key,large binary fragments,MongoDB/controlled artifact/B2 metadata as applicable,CURRENT: pickle/zlib; TARGET: bounded JSON,0,0,0,CURRENT 0-30; target bounded,0,N/A,N/A,source-of-truth or per-process cache,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,ASSUMPTION_REQUIRES_POST_RELEASE_MEASUREMENT,0,0,0,LOW,B2 range streaming is durable-storage concern,B2 range streaming is durable-storage concern
