slug,title,author,language,genre_category,length_bucket,word_count,reading_minutes,public_domain_rights_status,rights_tier,reader_status,audiobook_status,cover_status,current_production_status,audiobook_naturalness_status,asr_source_status,sync_tier,audio_provider,known_blockers,marketing_hook,target_audience,estimated_audiobook_cost_usd,release_confidence,weighted_launch_fitness
book-2b9853ec52,দুই বিঘা জমি,রবীন্দ্রনাথ ঠাকুর,ben,history-strategy,short,557,2,PASS,A,reader_ready,BENGALI_AUDIOBOOK_LIVE,CLOUDINARY_ASSIGNED,live,PASS_APPROVED,PASS_ACCEPTED_BY_TTS_BY_CONSTRUCTION_WITH_SUPPORTING_ASR,PARAGRAPH_OR_STANZA_SYNC_PREMIUM,Sarvam,,"First live Bengali audiobook: land, loss, and dignity in a compact Tagore classic.","Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.0501,0.98,9.62
book-d19e96859f,গিন্নি,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,short,1007,4,PASS,A,reader_ready,CANARY_CANDIDATE_NOT_GENERATED,CLOUDINARY_ASSIGNED,live,REPRESENTATIVE_EVIDENCE_REQUIRED_PER_TITLE,NOT_RUN,PARAGRAPH_OR_STANZA_SYNC_PREMIUM planned,Sarvam planned,Canary preflight candidate; full TTS currently blocked until Sarvam hook supports bounded canary and per-title representative evidence.,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.0906,0.92,8.75
muchiram-gurer-jibanchorit,মুচিরাম গুড়ের জীবনচরিত,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,literary-fiction,short,913,4,PASS,A,reader_ready,CANARY_CANDIDATE_NOT_GENERATED,CLOUDINARY_ASSIGNED,live,REPRESENTATIVE_EVIDENCE_REQUIRED_PER_TITLE,NOT_RUN,PARAGRAPH_OR_STANZA_SYNC_PREMIUM planned,Sarvam planned,Canary preflight candidate; full TTS currently blocked until Sarvam hook supports bounded canary and per-title representative evidence.,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.0822,0.92,8.75
book-f5d593e1f4,রামকানাইয়ের নির্বুদ্ধিতা,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,short,1407,6,PASS,A,reader_ready,CANARY_CANDIDATE_NOT_GENERATED,CLOUDINARY_ASSIGNED,live,REPRESENTATIVE_EVIDENCE_REQUIRED_PER_TITLE,NOT_RUN,PARAGRAPH_OR_STANZA_SYNC_PREMIUM planned,Sarvam planned,Canary preflight candidate; full TTS currently blocked until Sarvam hook supports bounded canary and per-title representative evidence.,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1266,0.92,8.75
book-4b944e64fa,একরাত্রি,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,short,1785,8,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1607,0.9,8.43
book-2e468c4990,কাবুলিওয়ালা,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,short,2284,10,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.2056,0.9,8.43
book-0deb35c750,খাতা,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,short,1549,7,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1394,0.9,8.43
book-c7f3ce526c,খোকাবাবুর প্রত্যাবর্তন,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,short,2153,9,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1938,0.9,8.43
book-1090573dff,ছুটি,রবীন্দ্রনাথ ঠাকুর,ben,young-readers,short,1791,8,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Accessible emotional classic with student/family appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1612,0.9,8.43
book-754da4eab8,তারাপ্রসন্নের কীর্তি,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,short,1836,8,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1652,0.9,8.43
