date,day,channel,book_slug,book_title,content_type,hook,caption_draft,CTA,asset_required,owner_status
2026-07-08,Wednesday,YouTube Shorts,book-2b9853ec52,দুই বিঘা জমি,approved audio teaser,"First live Bengali audiobook: land, loss, and dignity in a compact Tagore classic.","দুই বিঘা জমি: First live Bengali audiobook: land, loss, and dignity in a compact Tagore classic. Listen now in Earnalism.",Listen now,cover + approved 15s audio clip,planned_not_scheduled
2026-07-09,Thursday,Instagram Reels,a-ghost-story,A Ghost Story,reader hook video,Approved comic ghost audiobook: Mark Twain turns haunting into absurdity.,A Ghost Story: Approved comic ghost audiobook: Mark Twain turns haunting into absurdity. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-10,Friday,Facebook/WhatsApp,muchiram-gurer-jibanchorit,মুচিরাম গুড়ের জীবনচরিত,quote card,Compact human drama suited to quote cards and audio teasers.,মুচিরাম গুড়ের জীবনচরিত: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-11,Saturday,Instagram Carousel,book-d19e96859f,গিন্নি,quote card,Bengali classic with strong cultural recall and reader-first appeal.,গিন্নি: Bengali classic with strong cultural recall and reader-first appeal. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-12,Sunday,LinkedIn,book-f5d593e1f4,রামকানাইয়ের নির্বুদ্ধিতা,reader hook video,Bengali classic with strong cultural recall and reader-first appeal.,রামকানাইয়ের নির্বুদ্ধিতা: Bengali classic with strong cultural recall and reader-first appeal. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-13,Monday,SEO/Email,book-ac5a71075e,পোস্টমাস্টার,reader hook video,Compact human drama suited to quote cards and audio teasers.,পোস্টমাস্টার: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-14,Tuesday,YouTube Shorts,the-gift-of-the-magi,The Gift of the Magi,reader hook video,Compact human drama suited to quote cards and audio teasers.,The Gift of the Magi: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-15,Wednesday,Instagram Reels,the-tell-tale-heart,The Tell-Tale Heart,reader hook video,Gothic atmosphere and suspense for short-form literary discovery.,The Tell-Tale Heart: Gothic atmosphere and suspense for short-form literary discovery. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-16,Thursday,Facebook/WhatsApp,book-1090573dff,ছুটি,quote card,Accessible emotional classic with student/family appeal.,ছুটি: Accessible emotional classic with student/family appeal. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-17,Friday,Instagram Carousel,book-edfcf810c5,ক্ষুধিত পাষাণ,quote card,Gothic atmosphere and suspense for short-form literary discovery.,ক্ষুধিত পাষাণ: Gothic atmosphere and suspense for short-form literary discovery. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
