day,date,channel,title,asset_type,hook,caption,CTA,release_truth_status,required_media,audio_teaser_allowed
1,2026-07-08,Instagram Reels,দুই বিঘা জমি,15s audio teaser,"A Bengali classic enters the listening room","দুই বিঘা জমি is live in Earnalism with approved section-following narration. Read or listen tonight.",Listen,Approved audiobook live,"approved audio clip; graphical cover",true
2,2026-07-09,YouTube Shorts,A Ghost Story,15s audio teaser,"Mark Twain makes a ghost story funny","A haunting, a joke, and a classic voice. A Ghost Story is ready to read or listen in Earnalism.",Listen,Approved asset-backed audiobook; final paid route check before ads,"approved audio clip; graphical cover",true
3,2026-07-10,Instagram Carousel,মুচিরাম গুড়ের জীবনচরিত,Cover reveal,"Coming to the listening room","A Bengali classic selected for Earnalism's Founding Audiobook Lot. Read now; listening appears only after quality gates pass.",Read,Coming soon audiobook candidate,"graphical cover; quote card",false
4,2026-07-11,Facebook,The Gift of the Magi,Quote card,"The short story that still understands sacrifice","The Gift of the Magi is reader-ready in Earnalism and selected for future quality-gated listening.",Read,Coming soon audiobook candidate,"graphical cover; quote card",false
5,2026-07-12,WhatsApp,ছুটি,Reader prompt,"Tonight's Bengali classic","Read ছুটি in a calmer digital reading room. Audio stays hidden until narration passes.",Read,Reader-first audio-hidden,"graphical cover",false
6,2026-07-13,LinkedIn,Season 1,Build-in-public,"Why Earnalism does not publish every generated audiobook","Trust is a product feature: Earnalism releases narration only after source, sync, listening, endpoint, and browser gates pass.",Explore Library,Brand/trust post,"text post; process graphic",false
7,2026-07-14,Instagram Reels,The Tell-Tale Heart,Cover-led short,"The heartbeat before the audiobook","Poe is selected for Earnalism's Founding Audiobook Lot. Read now while the listening release goes through gates.",Read,Coming soon audiobook candidate,"graphical cover; motion text",false
8,2026-07-15,YouTube Shorts,দুই বিঘা জমি,30s audio teaser,"Land, dignity, loss","A short Bengali classic, now approved for listening in Earnalism.",Listen,Approved audiobook live,"approved audio clip; graphical cover",true
9,2026-07-16,Instagram Carousel,Bengali Classics,Shelf post,"Bengali reader editions are already live","Reader-first does not mean unfinished. Bengali classics are live as premium reading editions while audio is quality-gated.",Explore Bengali Library,Reader-first shelf,"multi-cover carousel",false
10,2026-07-17,Facebook,A Ghost Story,30s audio teaser,"A ghost story with a grin","Mark Twain's comic haunting is ready in Earnalism. Read or listen.",Listen,Approved asset-backed audiobook; final paid route check before ads,"approved audio clip; graphical cover",true
11,2026-07-18,Instagram Stories,The Open Window,Poll,"Would you trust the niece?","The Open Window is reader-ready and selected for the listening room. Read it before the narration arrives.",Read,Coming soon audiobook candidate,"cover; poll sticker",false
12,2026-07-19,LinkedIn,Release gates,Trust post,"Marketing should not outrun production truth","Earnalism separates Live Now from Coming Soon so readers never hit fake audio states.",Explore Library,Brand/trust post,"process card",false
13,2026-07-20,Instagram Carousel,Long-Form Classics,Shelf post,"The big classics are not rushed","Dracula, Frankenstein, and Dorian Gray anchor discovery as reader-first classics. Audio comes only when QA is safe.",Read,Reader-first / SEO shelf,"cover carousel",false
14,2026-07-21,YouTube Shorts,Season 1,Launch recap,"Two live listens, many reader-ready classics","Start with approved audiobooks or browse the reader-first library. Earnalism is a quieter home for classics.",Enter Library,Mixed truth-safe shelf,"cover montage; optional approved clips only",false
