severity,category,path,line,finding,recommendation
HIGH,provider_guard,AUDIOBOOK_VOICE_PIPELINE.md,1,Audio/provider script references remote providers without all production audio guard flags.,"Require EARNALISM_ALLOW_AUDIO_UPLOAD, EARNALISM_ALLOW_PROVIDER_CALLS, and EARNALISM_CONFIRM_PRODUCTION_AUDIO."
HIGH,provider_guard,AUDIO_INTEGRATION_GUIDE.md,1,Audio/provider script references remote providers without all production audio guard flags.,"Require EARNALISM_ALLOW_AUDIO_UPLOAD, EARNALISM_ALLOW_PROVIDER_CALLS, and EARNALISM_CONFIRM_PRODUCTION_AUDIO."
HIGH,unsafe_redirect,CLEANUP_REPORT.md,29,Potential legacy /shop to /library redirect.,"Removed demo routes must go to removed-content, not the SPA shell or library."
HIGH,unsafe_redirect,CLEANUP_REPORT.md,51,Potential legacy /shop to /library redirect.,"Removed demo routes must go to removed-content, not the SPA shell or library."
HIGH,unsafe_redirect,LAUNCH_FIXES_REPORT.md,5,Potential legacy /shop to /library redirect.,"Removed demo routes must go to removed-content, not the SPA shell or library."
HIGH,invalid_shebang,PHASE1_BASELINE_VERIFICATION.md,1,Shebang appears after line 1.,Move shebang to the first physical line.
HIGH,invalid_shebang,PHASE4_VALIDATION_REPORT.md,1,Shebang appears after line 1.,Move shebang to the first physical line.
HIGH,invalid_shebang,PHASE5_VALIDATION_REPORT.md,1,Shebang appears after line 1.,Move shebang to the first physical line.
HIGH,invalid_shebang,PHASE6_VALIDATION_REPORT.md,1,Shebang appears after line 1.,Move shebang to the first physical line.
HIGH,invalid_shebang,PHASE7_VALIDATION_REPORT.md,1,Shebang appears after line 1.,Move shebang to the first physical line.
HIGH,invalid_shebang,PHASE8_VALIDATION_REPORT.md,1,Shebang appears after line 1.,Move shebang to the first physical line.
HIGH,provider_guard,README_audio 2.md,1,Audio/provider script references remote providers without all production audio guard flags.,"Require EARNALISM_ALLOW_AUDIO_UPLOAD, EARNALISM_ALLOW_PROVIDER_CALLS, and EARNALISM_CONFIRM_PRODUCTION_AUDIO."
HIGH,provider_guard,README_audio.md,1,Audio/provider script references remote providers without all production audio guard flags.,"Require EARNALISM_ALLOW_AUDIO_UPLOAD, EARNALISM_ALLOW_PROVIDER_CALLS, and EARNALISM_CONFIRM_PRODUCTION_AUDIO."
HIGH,provider_guard,backend/audiobook_voice_pipeline.py,1,Audio/provider script references remote providers without all production audio guard flags.,"Require EARNALISM_ALLOW_AUDIO_UPLOAD, EARNALISM_ALLOW_PROVIDER_CALLS, and EARNALISM_CONFIRM_PRODUCTION_AUDIO."
HIGH,secret_like_string,backend/server.py,441,Secret-like literal detected.,Move secrets to environment variables or confirm this is a documented placeholder.
HIGH,secret_like_string,backend/server.py,454,Secret-like literal detected.,Move secrets to environment variables or confirm this is a documented placeholder.
HIGH,provider_guard,backend/tests/test_audiobook_voice_pipeline.py,1,Audio/provider script references remote providers without all production audio guard flags.,"Require EARNALISM_ALLOW_AUDIO_UPLOAD, EARNALISM_ALLOW_PROVIDER_CALLS, and EARNALISM_CONFIRM_PRODUCTION_AUDIO."
HIGH,provider_guard,backend/tests/test_b2_audiobook_routing.py,1,Audio/provider script references remote providers without all production audio guard flags.,"Require EARNALISM_ALLOW_AUDIO_UPLOAD, EARNALISM_ALLOW_PROVIDER_CALLS, and EARNALISM_CONFIRM_PRODUCTION_AUDIO."
HIGH,provider_guard,deploy_audio_to_cdn.py,1,Audio/provider script references remote providers without all production audio guard flags.,"Require EARNALISM_ALLOW_AUDIO_UPLOAD, EARNALISM_ALLOW_PROVIDER_CALLS, and EARNALISM_CONFIRM_PRODUCTION_AUDIO."
HIGH,provider_guard,deploy_english_audio.sh,1,Audio/provider script references remote providers without all production audio guard flags.,"Require EARNALISM_ALLOW_AUDIO_UPLOAD, EARNALISM_ALLOW_PROVIDER_CALLS, and EARNALISM_CONFIRM_PRODUCTION_AUDIO."
HIGH,hidden_unicode,frontend/public/audio/ben/book-0deb35c750_timestamps.json,5703,Hidden Unicode control U+200C detected.,Remove hidden Unicode.
